GPU: Nvidia GTX 260
CPU: Intel Core i7 920

     PopSize   TrainSize    CPU (ms)    GPU (ms)
         100         100        41.2         4.2
         100        1000       194.9        11.6
         100       10000      1924.4        94.9
         100      100000     19136.8      2547.2

     PopSize   TrainSize    CPU (ms)    GPU (ms)
           1        1000         2.3         2.9
          10        1000        19.6         3.2
         100        1000       192.9        12.1
        1000        1000      1920.4       103.8
       10000        1000     19091.1       782.3
